"Callsign","Frequency","City","State","Licensee","Format"
"WQXD-LP","97.9 FM","Athens","Alabama","Seehafer Broadcasting Corporation","Rock, Alternative, or Indie"
"WZYP","104.3 FM","Athens","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBZR-FM","105.9 FM","Atmore","Alabama","Garrison City Radio Group, LLC","Pop or Contemporary"
"WGYJ-LP","93.5 FM","Atmore","Alabama","Cincinnati Public Radio","News and Talk"
"WKXX","102.9 FM","Attalla","Alabama","Blanchard River Broadcasting Company","Country"
"WAUD","1230 AM","Auburn","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WAUF-LP","97.3 FM","Auburn","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WEGL","91.1 FM","Auburn","Alabama","Childers Media Group LLC","Rock, Alternative, or Indie"
"WKKR","97.7 FM","Auburn","Alabama","Cumulus Licensing LLC","Country"
"WTOF","1110 AM","Bay Minette","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WNSP","105.5 FM","Bay Minette","Alabama","Kent State University","News and Talk"
"WZGX","1450 AM","Bessemer","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WSJL","88.1 FM","Bessemer","Alabama","Sheboygan Area School District","Other"
"WVBC-LP","96.9 FM","Bessemer","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WAGG","610 AM","Birmingham","Alabama","LAZER BROADCASTING LLC","International"
"WAPI","1070 AM","Birmingham","Alabama","New Hampshire Gospel Radio, Inc.","Religious"
"WATV","900 AM","Birmingham","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WAYE","1220 AM","Birmingham","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WENN","1320 AM","Birmingham","Alabama","Educational Media Foundation","Religious"
"WERC","960 AM","Birmingham","Alabama","Elyria-Lorain Broadcasting Co.","News and Talk"
"WJOX","690 AM","Birmingham","Alabama","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WXJC","850 AM","Birmingham","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WYDE","1260 AM","Birmingham","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBFR","89.5 FM","Birmingham","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WBHM","90.3 FM","Birmingham","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WDJC-FM","93.7 FM","Birmingham","Alabama","World Witness for Christ Ministries, Inc.","Hip-hop"
"WGIB","91.9 FM","Birmingham","Alabama","Christian Faith Broadcast, Inc.","Religious"
"WJOX-FM","94.5 FM","Birmingham","Alabama","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WLJR","88.5 FM","Birmingham","Alabama","Lakota Local School District","Rock, Alternative, or Indie"
"WMJJ","96.5 FM","Birmingham","Alabama","Citicasters Licenses, Inc.","Other"
"WSYP-LP","95.1 FM","Birmingham","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WUHT","107.7 FM","Birmingham","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WVSU-FM","91.1 FM","Birmingham","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZRR","99.5 FM","Birmingham","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZZK-FM","104.7 FM","Birmingham","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBSA","1300 AM","Boaz","Alabama","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WQZZ","107.3 FM","Boligee","Alabama","Seehafer Broadcasting Corporation","Rock, Alternative, or Indie"
"WKNU","106.3 FM","Brewton","Alabama","Good Karma Broadcasting, LLC.","Other"
"WOWB","90.9 FM","Brewton","Alabama","Music That Matters, Inc.","Rock, Alternative, or Indie"
"WVOV","1480 AM","Bridgeport","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WRTR","105.9 FM","Brookwood","Alabama","Board of Regents, University of Wisconsin System","Rock, Alternative, or Indie"
"WTBF-FM","94.7 FM","Brundidge","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WWFC-LP","99.9 FM","Bryant","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WMLG","93.5 FM","Butler","Alabama","Maple Knoll Communities, Inc.","Other"
"WQLS","90.5 FM","Camden","Alabama","Cumulus Licensing LLC","Pop or Contemporary"
"WALN","89.3 FM","Carrollton","Alabama","LAZER BROADCASTING LLC","International"
"WZBQ","94.1 FM","Carrollton","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WALQ","1130 AM","Carrville","Alabama","LAZER BROADCASTING LLC","International"
"WEIS","990 AM","Centre","Alabama","Childers Media Group LLC","Rock, Alternative, or Indie"
"WBIB","1110 AM","Centreville","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WLVM","98.3 FM","Chickasaw","Alabama","CC Licenses, LLC","News and Talk"
"WQUA","102.1 FM","Citronelle","Alabama","Seehafer Broadcasting Corporation","Rock, Alternative, or Indie"
"WKLF","980 AM","Clanton","Alabama","Music X-press Broadcasting Corp. of Northeast Ohio","Country"
"WSMX-LP","98.3 FM","Clanton","Alabama","WPW Broadcasting, Inc.","Country"
"WFFN","95.3 FM","Coaling","Alabama","Lancaster Educational Broadcasting","Religious"
"WJJN","92.1 FM","Columbia","Alabama","American Family Association","Religious"
"WSGQ-LP","103.3 FM","Columbia","Alabama","Radio Plus Bay Cities, LLC","Pop or Contemporary"
"WQEM","101.5 FM","Columbiana","Alabama","Case Communications LLC","Other"
"WACV","93.1 FM","Coosada","Alabama","LAZER BROADCASTING LLC","International"
"WXJC-FM","92.5 FM","Cordova","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WFMH","1340 AM","Cullman","Alabama","Blanchard River Broadcasting Company","News and Talk"
"WMCJ","1460 AM","Cullman","Alabama","Capstar TX LLC","News and Talk"
"WJUV","88.3 FM","Cullman","Alabama","Welch Communications","Pop or Contemporary"
"WKUL","92.1 FM","Cullman","Alabama","Kingstrust LLC","Other"
"WRJM-LP","95.5 FM","Cullman","Alabama","Calvary Chapel (Church) of Menomonie","Religious"
"WYDE-FM","101.1 FM","Cullman","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WELL-FM","88.7 FM","Dadeville","Alabama","Educational Media Foundation","Religious"
"WASG","540 AM","Daphne","Alabama","New Hampshire Gospel Radio, Inc.","Religious"
"WAVH","106.5 FM","Daphne","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WEKI","1490 AM","Decatur","Alabama","Childers Media Group LLC","Rock, Alternative, or Indie"
"WHOS","800 AM","Decatur","Alabama","CC Licenses, LLC","Other"
"WWTM","1400 AM","Decatur","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WAJF-LP","107.9 FM","Decatur","Alabama","LAZER BROADCASTING LLC","International"
"WDRM","102.1 FM","Decatur","Alabama","Dayton City Schools","Other"
"WYFD","91.7 FM","Decatur","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZDK-LP","98.5 FM","Decatur","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WXAL","1400 AM","Demopolis","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WMWI","88.7 FM","Demopolis","Alabama","Dean Miller Broadcasting Corp.","Pop or Contemporary"
"WZNJ","106.5 FM","Demopolis","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WMBV","91.9 FM","Dixons Mills","Alabama","Capstar TX LLC","News and Talk"
"WAGF","1320 AM","Dothan","Alabama","LAZER BROADCASTING LLC","International"
"WCNF","700 AM","Dothan","Alabama","Marietta College","Other"
"WOOF","560 AM","Dothan","Alabama","Seehafer Broadcasting Corp","Other"
"WAGF-FM","101.3 FM","Dothan","Alabama","LAZER BROADCASTING LLC","International"
"WESP","102.5 FM","Dothan","Alabama","First Family Broadcasting","Other"
"WGTF","89.5 FM","Dothan","Alabama","Public Broadcasting Foundation of NW Ohio","News and Talk"
"WKCG-LP","99.1 FM","Dothan","Alabama","Educational Media Foundation","Religious"
"WOOF-FM","99.7 FM","Dothan","Alabama","Seehafer Broadcasting Corp","Other"
"WRWA","88.7 FM","Dothan","Alabama","WRVM, Inc.","Religious"
"WTVY-FM","95.5 FM","Dothan","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WVOB","91.3 FM","Dothan","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WVPL","90.5 FM","Dozier","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WELB","1350 AM","Elba","Alabama","Educational Media Foundation","Religious"
"WVVL","101.1 FM","Elba","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WKMX","106.7 FM","Enterprise","Alabama","Vernon R. Baldwin, Inc.","Religious"
"WBNB","91.3 FM","Equality","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WULA","1240 AM","Eufaula","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WKZJ","92.7 FM","Eufaula","Alabama","Blanchard River Broadcasting Company","Country"
"WYDK","97.9 FM","Eufaula","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WWPG","104.3 FM","Eutaw","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WRJL-FM","99.9 FM","Eva","Alabama","Calvary Chapel (Church) of Menomonie","Religious"
"WPNS","1470 AM","Evergreen","Alabama","State of Wisconsin – Educational Communications Board","News and Talk"
"WJLD","1400 AM","Fairfield","Alabama","Christian Faith Broadcast, Inc.","Religious"
"WABF","1220 AM","Fairhope","Alabama","LAZER BROADCASTING LLC","International"
"WXQW","660 AM","Fairhope","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WYFR-LP","89.9 FM","Fairhope","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZEW","92.1 FM","Fairhope","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WTXT","98.1 FM","Fayette","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WJBE-FM","88.5 FM","Five Points","Alabama","Quiet Radio Inc. d/b/a WJAW Radio","Other"
"WKWL","1230 AM","Florala","Alabama","WWST Corporation, L.L.C.","Other"
"WBCF","1240 AM","Florence","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WSBM","1340 AM","Florence","Alabama","WRIG, Inc.","News and Talk"
"WFIX","91.3 FM","Florence","Alabama","Blanchard River Broadcasting Company","News and Talk"
"WQLT-FM","107.3 FM","Florence","Alabama","Cumulus Licensing LLC","Pop or Contemporary"
"WXFL","96.1 FM","Florence","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WHEP","1310 AM","Foley","Alabama","Heidelberg College","Other"
"WKXN","95.7 FM","Fort Deposit","Alabama","Blanchard River Broadcasting Company","Country"
"WBFA","98.3 FM","Fort Mitchell","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WFPA","1400 AM","Fort Payne","Alabama","Our Lady of Guadalupe Radio, Inc. d/b/a Annunciation Radio","Other"
"WZOB","1250 AM","Fort Payne","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WFTP-LP","103.9 FM","Fort Payne","Alabama","Radio License Holding SRC LLC","Rock, Alternative, or Indie"
"WDBT","103.9 FM","Fort Rucker","Alabama","Johnson Communications","Hip-hop"
"WRYC","92.5 FM","Frisco City","Alabama","WRVM, Inc.","Religious"
"WCKS","102.7 FM","Fruithurst","Alabama","Jackson County Broadcasting, Inc.","Country"
"WJIK","89.3 FM","Fulton","Alabama","VCY America","Religious"
"WAAX","570 AM","Gadsden","Alabama","LAZER BROADCASTING LLC","International"
"WMGJ","1240 AM","Gadsden","Alabama","Muskingum College","Other"
"WTDR","1350 AM","Gadsden","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WSGN","91.5 FM","Gadsden","Alabama","Radio Plus Bay Cities, LLC","Pop or Contemporary"
"WTBB","89.9 FM","Gadsden","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WPYA","97.3 FM","Gardendale","Alabama","WRVM, Inc.","Religious"
"WGEA","1150 AM","Geneva","Alabama","Public Broadcasting Foundation of NW Ohio","News and Talk"
"WFXX","107.7 FM","Georgiana","Alabama","Capstar TX LLC","Rock, Alternative, or Indie"
"WGMZ","93.1 FM","Glencoe","Alabama","Public Broadcasting Foundation of NW Ohio","News and Talk"
"WFAZ","90.9 FM","Goodwater","Alabama","First Family Broadcasting","Other"
"WKGA","97.5 FM","Goodwater","Alabama","Citicasters Licenses, Inc.","Pop or Contemporary"
"WSMX-FM","100.3 FM","Goshen","Alabama","WPW Broadcasting, Inc.","Country"
"WLXQ","99.1 FM","Greensboro","Alabama","Citicasters Licenses, Inc.","Other"
"WGYV","1380 AM","Greenville","Alabama","Cincinnati Public Radio","News and Talk"
"WQZX","94.3 FM","Greenville","Alabama","Seehafer Broadcasting Corporation","Rock, Alternative, or Indie"
"WBMH","106.1 FM","Grove Hill","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WGSV","1270 AM","Guntersville","Alabama","Radio License Holding SRC LLC","Other"
"WTWX-FM","95.9 FM","Guntersville","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WHRP","94.1 FM","Gurley","Alabama","Cumulus Licensing LLC","Pop or Contemporary"
"WFMH-FM","95.5 FM","Hackleburg","Alabama","Blanchard River Broadcasting Company","News and Talk"
"WWWH-FM","92.7 FM","Haleyville","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WERH-FM","92.1 FM","Hamilton","Alabama","Blue Chip Broadcasting Licenses, Ltd.","News and Talk"
"WFBH-LP","96.7 FM","Hamilton","Alabama","First Family Broadcasting","Other"
"WQHC","1170 AM","Hanceville","Alabama","Case Communications LLC","Other"
"WDJR","96.9 FM","Hartford","Alabama","D.A. Peterson, Inc.","Pop or Contemporary"
"WYAM","890 AM","Hartselle","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WTAK-FM","106.1 FM","Hartselle","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WYZK-LP","98.3 FM","Hartselle","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WAYH","88.1 FM","Harvest","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WECB","105.3 FM","Headland","Alabama","Citicasters Licenses, Inc.","Rock, Alternative, or Indie"
"WRMZ-LP","98.1 FM","Headland","Alabama","Radio Maria, Inc.","Religious"
"WKNG-FM","89.1 FM","Heflin","Alabama","WLGN, LLC.","Other"
"WPIL","91.7 FM","Heflin","Alabama","Menomonie Christian Radio, Inc.","Religious"
"WJQX","100.5 FM","Helena","Alabama","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WJSD-LP","94.5 FM","Henagar","Alabama","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WHOG","1120 AM","Hobson City","Alabama","CC Licenses, LLC","Other"
"WHMA-FM","95.5 FM","Hobson City","Alabama","CC Licenses, LLC","News and Talk"
"WRSA-FM","96.9 FM","Holly Pond","Alabama","Good Karma Broadcasting L.L.C.","News and Talk"
"WMHZ","1340 AM","Holt","Alabama","Muskingum College","Other"
"WBPT","106.9 FM","Homewood","Alabama","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WERC-FM","105.5 FM","Hoover","Alabama","Elyria-Lorain Broadcasting Co.","News and Talk"
"WPHH","93.5 FM","Hope Hull","Alabama","Menomonie Christian Radio, Inc.","Religious"
"WBHP","1230 AM","Huntsville","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WDJL","1000 AM","Huntsville","Alabama","World Witness for Christ Ministries, Inc.","Hip-hop"
"WEUP","1700 AM","Huntsville","Alabama","First Family Broadcasting","Other"
"WHIY","1600 AM","Huntsville","Alabama","Cox Radio","News and Talk"
"WLOR","1550 AM","Huntsville","Alabama","WLOH Radio Company","News and Talk"
"WTKI","1450 AM","Huntsville","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WAHR","99.1 FM","Huntsville","Alabama","LAZER BROADCASTING LLC","International"
"WJAB","90.9 FM","Huntsville","Alabama","Citicasters Licenses, Inc.","Country"
"WJOU","90.1 FM","Huntsville","Alabama","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WLRH","89.3 FM","Huntsville","Alabama","Christian Faith Broadcast, Inc.","Religious"
"WRTT-FM","95.1 FM","Huntsville","Alabama","Board of Regents, University of Wisconsin System","Rock, Alternative, or Indie"
"WMMA","1480 AM","Irondale","Alabama","Citicasters Licenses, Inc.","Other"
"WRJX","1230 AM","Jackson","Alabama","Heartland Communications License, LLC","Oldies"
"WHOD","94.5 FM","Jackson","Alabama","CC Licenses, LLC","News and Talk"
"WJLQ-LP","97.9 FM","Jackson","Alabama","Christian Faith Broadcast, Inc.","Religious"
"WCKA","810 AM","Jacksonville","Alabama","Jackson County Broadcasting, Inc.","Country"
"WLJS-FM","91.9 FM","Jacksonville","Alabama","Lakota Local School District","Rock, Alternative, or Indie"
"WIXI","1360 AM","Jasper","Alabama","Aloha Station Trust, LLC","News and Talk"
"WJLX","1240 AM","Jasper","Alabama","Christian Faith Broadcast, Inc.","Religious"
"WQJJ-LP","101.9 FM","Jasper","Alabama","Case Communications LLC","Other"
"WHPH","97.7 FM","Jemison","Alabama","Cumulus Licensing LLC","Pop or Contemporary"
"WPJN","89.3 FM","Jemison","Alabama","Menomonie Christian Radio, Inc.","Religious"
"WRNK-LP","96.3 FM","Lanett","Alabama","Northland College","Other"
"WEBT","91.5 FM","Langdale","Alabama","Citicasters Licenses, Inc.","Rock, Alternative, or Indie"
"WIRB","1490 AM","Level Plains","Alabama","Citicasters Licenses, Inc.","Rock, Alternative, or Indie"
"WINL","98.5 FM","Linden","Alabama","Alpha Media Licensee LLC","Other"
"WZZX","780 AM","Lineville","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZEV","90.5 FM","Lineville","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WHSL","107.7 FM","Lisman","Alabama","Our Lady of Guadalupe Radio, Inc., dba Annunciation Radio","Religious"
"WLAY-FM","100.1 FM","Littleville","Alabama","Blanchard River Broadcasting Company","Country"
"WLYB","96.3 FM","Livingston","Alabama","Citicasters Licenses, Inc.","Other"
"WHLW","104.3 FM","Luverne","Alabama","CC Licenses, LLC","News and Talk"
"WUMP","730 AM","Madison","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WHMZ-LP","95.5 FM","Madison","Alabama","CC Licenses, LLC","News and Talk"
"WVMB-LP","107.9 FM","Madison","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZNN","106.3 FM","Maplesville","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WJUS","1310 AM","Marion","Alabama","Welch Communications","Pop or Contemporary"
"WNPT-FM","102.9 FM","Marion","Alabama","Tuscarawas Broadcasting Co.","Religious"
"WQRV","100.3 FM","Meridianville","Alabama","Capstar TX LLC","Country"
"WBHJ","95.7 FM","Midfield","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WWMG","97.1 FM","Millbrook","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBHY","840 AM","Mobile","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WERM","1480 AM","Mobile","Alabama","Blue Chip Broadcasting Licenses, Ltd.","News and Talk"
"WGOK","900 AM","Mobile","Alabama","Bible Broadcasting, Inc.","Religious"
"WMOB","1360 AM","Mobile","Alabama","Jawco, Inc.","Pop or Contemporary"
"WNGL","1410 AM","Mobile","Alabama","CC Licenses, LLC","Other"
"WNTM","710 AM","Mobile","Alabama","Kent State University","News and Talk"
"WABD","97.5 FM","Mobile","Alabama","LAZER BROADCASTING LLC","International"
"WBHY-FM","88.5 FM","Mobile","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WBLX-FM","92.9 FM","Mobile","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WHIL","91.3 FM","Mobile","Alabama","Heidelberg College","Other"
"WKSJ-FM","94.9 FM","Mobile","Alabama","First Family Broadcasting, Inc.","Other"
"WMXC","99.9 FM","Mobile","Alabama","Spryex Communications","Rock, Alternative, or Indie"
"WRKH","96.1 FM","Mobile","Alabama","Heartland Communications License, LLC","Oldies"
"WEZZ","930 AM","Monroeville","Alabama","First Family Broadcasting","Other"
"WILF","88.9 FM","Monroeville","Alabama","AVC Communications, Inc.","Other"
"WIZD-LP","100.3 FM","Monroeville","Alabama","Aloha Station Trust, LLC","News and Talk"
"WMFC","99.3 FM","Monroeville","Alabama","Muskingum College","Other"
"WGMP","1170 AM","Montgomery","Alabama","Public Broadcasting Foundation of NW Ohio","News and Talk"
"WLWI","1440 AM","Montgomery","Alabama","Citicasters Licenses, Inc.","Other"
"WMGY","800 AM","Montgomery","Alabama","Muskingum College","Other"
"WMSP","740 AM","Montgomery","Alabama","Marietta College","Other"
"WXVI","1600 AM","Montgomery","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZKD","950 AM","Montgomery","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBAM-FM","98.9 FM","Montgomery","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WHHY-FM","101.9 FM","Montgomery","Alabama","Heidelberg College","Other"
"WKEM-LP","98.3 FM","Montgomery","Alabama","Citicasters Licenses, Inc.","Pop or Contemporary"
"WLBF","89.1 FM","Montgomery","Alabama","Blanchard River Broadcasting Company","Country"
"WLWI-FM","92.3 FM","Montgomery","Alabama","Citicasters Licenses, Inc.","Other"
"WMXS","103.3 FM","Montgomery","Alabama","Spryex Communications","Rock, Alternative, or Indie"
"WQKS-FM","96.1 FM","Montgomery","Alabama","Case Communications LLC","Other"
"WVAS","90.7 FM","Montgomery","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WTSU","89.9 FM","Montgomery–Troy","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WURL","760 AM","Moody","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WEUV","1190 AM","Moulton","Alabama","First Family Broadcasting","Other"
"WALW-LP","97.9 FM","Moulton","Alabama","LAZER BROADCASTING LLC","International"
"WEUP-FM","103.1 FM","Moulton","Alabama","First Family Broadcasting","Other"
"WKUA","88.5 FM","Moundville","Alabama","Kingstrust LLC","Other"
"WLAY","1450 AM","Muscle Shoals","Alabama","Blanchard River Broadcasting Company","Country"
"WQPR","88.7 FM","Muscle Shoals","Alabama","Robinson Corporation","Country"
"WVNA-FM","105.5 FM","Muscle Shoals","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WHVK","103.5 FM","New Hope","Alabama","Whiplash Radio, LLC of Ohio","Other"
"WWFF-FM","93.3 FM","New Market","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WALJ","105.1 FM","Northport","Alabama","LAZER BROADCASTING LLC","International"
"WTUG-FM","92.9 FM","Northport","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WCRL","1570 AM","Oneonta","Alabama","The Moody Bible Institute of Chicago","Religious"
"WANI","1400 AM","Opelika","Alabama","New Hampshire Gospel Radio, Inc.","Religious"
"WTLM","1520 AM","Opelika","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WMXA","96.7 FM","Opelika","Alabama","Spryex Communications","Rock, Alternative, or Indie"
"WAMI","860 AM","Opp","Alabama","LAZER BROADCASTING LLC","International"
"WOPP","1290 AM","Opp","Alabama","Seehafer Broadcasting Corp","Other"
"WAMI-FM","102.3 FM","Opp","Alabama","LAZER BROADCASTING LLC","International"
"WJIF","91.9 FM","Opp","Alabama","VCY America","Religious"
"WCSN-FM","105.7 FM","Orange Beach","Alabama","Hayco Broadcasting, Inc.","Pop or Contemporary"
"WALX","100.9 FM","Orrville","Alabama","LAZER BROADCASTING LLC","International"
"WVOK","1580 AM","Oxford","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WOXI-LP","95.9 FM","Oxford","Alabama","Results Broadcasting Inc.","Other"
"WTBJ","91.3 FM","Oxford","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WVOK-FM","97.9 FM","Oxford","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WOZK","900 AM","Ozark","Alabama","Results Broadcasting Inc.","Other"
"WAQG","91.7 FM","Ozark","Alabama","New Hampshire Gospel Radio, Inc.","Religious"
"WOAB","104.9 FM","Ozark","Alabama","Mount Vernon Nazarene University","Religious"
"WZMG","910 AM","Pepperell","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WGSY","100.1 FM","Phenix City","Alabama","Radio License Holding SRC LLC","Other"
"WURY-LP","97.1 FM","Phenix City","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WPID","1280 AM","Piedmont","Alabama","Menomonie Christian Radio, Inc.","Religious"
"WJCK","88.3 FM","Piedmont","Alabama","Quiet Radio Inc. d/b/a WJAW Radio","Other"
"WTXK","1210 AM","Pike Road","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WKXK","96.7 FM","Pine Hill","Alabama","Blanchard River Broadcasting Company","Country"
"WVRV","97.5 FM","Pine Level","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WIQR","1410 AM","Prattville","Alabama","Citicasters Licenses, Inc.","Rock, Alternative, or Indie"
"WXFX","95.1 FM","Prattville","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
